Year,Catch_Tons,FAO_Area_Code,FAO_Area_Name,Country,Latitude,Longitude,Major_Species
2019,203000,61,"Pacific, Northwest",Japan,40.06,149.96,Pollock
2015,15000,27,"Atlantic, Northeast",Norway,60.06,-0.06,Cod
2021,350000,87,"Pacific, Southeast",Peru,-20.02,-80.01,Anchovy
2017,80000,71,"Pacific, Western Central",Indonesia,0.03,140.04,Tuna
2023,5000,37,Mediterranean and Black Sea,Spain,35.01,20.03,Sardine
2010,120000,21,"Atlantic, Northwest",Canada,45.05,-60.05,Cod
2018,25000,51,"Indian Ocean, Western",India,-10.03,60.02,Shrimp
2016,450000,87,"Pacific, Southeast",Chile,-20.04,-80.03,Anchovy
2020,70000,61,"Pacific, Northwest",Russia,40.01,150.01,Pollock
2014,18000,34,"Atlantic, Eastern Central",Morocco,10.02,0.02,Mackerel
2022,95000,77,"Pacific, Eastern Central",Mexico,10.05,-100.05,Tuna
2011,3000,88,Southern Ocean,Australia,-60.01,0.01,Squid
2013,60000,41,"Atlantic, Southwest",Argentina,-30.02,-45.02,Hake
2019,220000,61,"Pacific, Northwest",Korea (Rep. of),40.03,150.03,Pollock
2015,10000,27,"Atlantic, Northeast",UK,60.04,-0.04,Herring
2021,400000,87,"Pacific, Southeast",Peru,-20.01,-80.01,Anchovy
2017,90000,71,"Pacific, Western Central",Philippines,0.01,140.01,Tuna
2023,7000,37,Mediterranean and Black Sea,France,35.03,20.03,Sardine
2010,130000,21,"Atlantic, Northwest",USA,45.04,-60.04,Cod
2018,30000,51,"Indian Ocean, Western",Thailand,-10.01,60.01,Shrimp
2016,480000,87,"Pacific, Southeast",Peru,-20.03,-80.03,Anchovy
2020,75000,61,"Pacific, Northwest",China,40.02,150.02,Pollock
2014,20000,34,"Atlantic, Eastern Central",Senegal,10.01,0.01,Mackerel
2022,100000,77,"Pacific, Eastern Central",USA,10.04,-100.04,Tuna
2011,4000,88,Southern Ocean,New Zealand,-60.02,0.02,Squid
2013,65000,41,"Atlantic, Southwest",Brazil,-30.01,-45.01,Hake
2019,210000,61,"Pacific, Northwest",Japan,40.05,149.95,Pollock
